distance,time_different,WeekDay,Hour,v,s0,s1,s2,s3,s4
2.757460702482766,217013,2,21,40.586625370023945,-1,-10009,92990,138076,217013
2.757460702482766,216022,2,21,40.586625370023945,-1,-11000,91999,137085,216022
2.610403438412136,214021,2,21,40.586625370023945,-1,-13001,89998,135084,214021
2.610403438412136,212003,2,21,40.586625370023945,-1,-15019,87980,133066,212003
2.610403438412136,210022,2,21,40.586625370023945,-1,-17000,85999,131085,210022
2.5749370426903995,208022,2,21,40.586625370023945,-1,-19000,83999,129085,208022
2.5749370426903995,206022,2,21,40.586625370023945,-1,-21000,81999,127085,206022
2.5749370426903995,204013,2,21,40.586625370023945,-1,-23009,79990,125076,204013
2.5749370426903995,201991,2,21,40.586625370023945,-1,-25031,77968,123054,201991
2.4712149137305324,200925,2,21,40.586625370023945,-1,-26097,76902,121988,200925
2.4712149137305324,199020,2,21,40.586625370023945,-1,-28002,74997,120083,199020
2.4712149137305324,197008,2,21,40.586625370023945,-1,-30014,72985,118071,197008
2.4712149137305324,195020,2,21,40.586625370023945,-1,-32002,70997,116083,195020
2.4712149137305324,193013,2,21,40.586625370023945,-1,-34009,68990,114076,193013
2.4712149137305324,191020,2,21,40.586625370023945,-1,-36002,66997,112083,191020
2.4712149137305324,190620,2,21,40.586625370023945,-1,-36402,66597,111683,190620
2.4712149137305324,189020,2,21,40.586625370023945,-1,-38002,64997,110083,189020
2.4712149137305324,188021,2,21,40.586625370023945,-1,-39001,63998,109084,188021
2.3423183116673387,186020,2,21,40.586625370023945,-1,-41002,61997,107083,186020
2.3423183116673387,184791,2,21,40.586625370023945,-1,-42231,60768,105854,184791
2.3423183116673387,184022,2,21,40.586625370023945,-1,-43000,59999,105085,184022
2.3423183116673387,183021,2,21,40.586625370023945,-1,-44001,58998,104084,183021
2.3423183116673387,182006,2,21,40.586625370023945,-1,-45016,57983,103069,182006
2.3423183116673387,180866,2,21,40.586625370023945,-1,-46156,56843,101929,180866
2.3423183116673387,180630,2,21,40.586625370023945,-1,-46392,56607,101693,180630
2.3423183116673387,180012,2,21,40.586625370023945,-1,-47010,55989,101075,180012
2.3423183116673387,178012,2,21,40.586625370023945,-1,-49010,53989,99075,178012
2.2331750565257504,176021,2,21,40.586625370023945,-1,-51001,51998,97084,176021
2.2331750565257504,175021,2,21,40.586625370023945,-1,-52001,50998,96084,175021
2.2331750565257504,174003,2,21,40.586625370023945,-1,-53019,49980,95066,174003
2.2331750565257504,172021,2,21,40.586625370023945,-1,-55001,47998,93084,172021
2.2331750565257504,171003,2,21,40.586625370023945,-1,-56019,46980,92066,171003
2.2331750565257504,170020,2,21,40.586625370023945,-1,-57002,45997,91083,170020
2.2331750565257504,169012,2,21,40.586625370023945,-1,-58010,44989,90075,169012
2.2331750565257504,168021,2,21,40.586625370023945,-1,-59001,43998,89084,168021
2.2331750565257504,166939,2,21,40.586625370023945,-1,-60083,42916,88002,166939
2.2331750565257504,166022,2,21,40.586625370023945,-1,-61000,41999,87085,166022
2.2331750565257504,164901,2,21,40.586625370023945,-1,-62121,40878,85964,164901
