distance,time_different,WeekDay,Hour,v 
3.0888946777375796,295001,2,21,35.08351036981856
3.0888946777375796,294001,2,21,35.08351036981856
3.0888946777375796,293001,2,21,35.08351036981856
3.0888946777375796,291982,2,21,35.08351036981856
3.0888946777375796,291745,2,21,35.08351036981856
3.0888946777375796,291000,2,21,35.08351036981856
3.0888946777375796,289999,2,21,35.08351036981856
3.0888946777375796,288991,2,21,35.08351036981856
3.0888946777375796,287965,2,21,35.08351036981856
3.0888946777375796,287001,2,21,35.08351036981856
3.0888946777375796,285980,2,21,35.08351036981856
3.0888946777375796,284994,2,21,35.08351036981856
3.0888946777375796,283994,2,21,35.08351036981856
3.0888946777375796,282993,2,21,35.08351036981856
3.0888946777375796,282001,2,21,35.08351036981856
3.0888946777375796,281347,2,21,35.08351036981856
3.0888946777375796,280968,2,21,35.08351036981856
3.0888946777375796,279993,2,21,35.08351036981856
2.901804948817565,278994,2,21,35.08351036981856
2.901804948817565,277993,2,21,35.08351036981856
2.901804948817565,277001,2,21,35.08351036981856
2.901804948817565,275973,2,21,35.08351036981856
2.901804948817565,275001,2,21,35.08351036981856
2.901804948817565,274001,2,21,35.08351036981856
2.901804948817565,273003,2,21,35.08351036981856
2.901804948817565,271868,2,21,35.08351036981856
2.901804948817565,271634,2,21,35.08351036981856
2.901804948817565,270947,2,21,35.08351036981856
2.901804948817565,270001,2,21,35.08351036981856
2.901804948817565,269001,2,21,35.08351036981856
2.901804948817565,267993,2,21,35.08351036981856
2.901804948817565,267000,2,21,35.08351036981856
2.757460702482766,265000,2,21,35.08351036981856
2.757460702482766,263993,2,21,35.08351036981856
2.757460702482766,261961,2,21,35.08351036981856
2.757460702482766,261001,2,21,35.08351036981856
2.757460702482766,260000,2,21,35.08351036981856
2.757460702482766,258993,2,21,35.08351036981856
2.757460702482766,257993,2,21,35.08351036981856
2.757460702482766,256980,2,21,35.08351036981856
2.757460702482766,256002,2,21,35.08351036981856
2.757460702482766,254001,2,21,35.08351036981856
2.757460702482766,252198,2,21,35.08351036981856
2.757460702482766,251917,2,21,35.08351036981856
2.757460702482766,251111,2,21,35.08351036981856
2.610403438412136,249988,2,21,35.08351036981856
2.610403438412136,247979,2,21,35.08351036981856
2.610403438412136,245978,2,21,35.08351036981856
2.610403438412136,243993,2,21,35.08351036981856
2.5749370426903995,241990,2,21,35.08351036981856
2.5749370426903995,239993,2,21,35.08351036981856
2.5749370426903995,237978,2,21,35.08351036981856
2.5749370426903995,235999,2,21,35.08351036981856
2.4712149137305324,233911,2,21,35.08351036981856
2.4712149137305324,231905,2,21,35.08351036981856
2.4712149137305324,230002,2,21,35.08351036981856
2.4712149137305324,229005,2,21,35.08351036981856
2.4712149137305324,227000,2,21,35.08351036981856
2.4712149137305324,224989,2,21,35.08351036981856
2.4712149137305324,223975,2,21,35.08351036981856
2.4712149137305324,222001,2,21,35.08351036981856
2.4712149137305324,221002,2,21,35.08351036981856
2.4712149137305324,220870,2,21,35.08351036981856
2.4712149137305324,220002,2,21,35.08351036981856
2.3423183116673387,219001,2,21,35.08351036981856
2.3423183116673387,217988,2,21,35.08351036981856
2.3423183116673387,216993,2,21,35.08351036981856
2.3423183116673387,216000,2,21,35.08351036981856
2.3423183116673387,215002,2,21,35.08351036981856
2.3423183116673387,213980,2,21,35.08351036981856
2.3423183116673387,212986,2,21,35.08351036981856
2.3423183116673387,211878,2,21,35.08351036981856
2.3423183116673387,211705,2,21,35.08351036981856
2.3423183116673387,210964,2,21,35.08351036981856
2.3423183116673387,210001,2,21,35.08351036981856
2.2331750565257504,208993,2,21,35.08351036981856
2.2331750565257504,207961,2,21,35.08351036981856
2.2331750565257504,206992,2,21,35.08351036981856
2.2331750565257504,206003,2,21,35.08351036981856
2.2331750565257504,204995,2,21,35.08351036981856
2.2331750565257504,204001,2,21,35.08351036981856
2.2331750565257504,202971,2,21,35.08351036981856
2.2331750565257504,201984,2,21,35.08351036981856
2.2331750565257504,200785,2,21,35.08351036981856
2.2331750565257504,200001,2,21,35.08351036981856
2.2331750565257504,198992,2,21,35.08351036981856
2.2331750565257504,197993,2,21,35.08351036981856
2.2331750565257504,196987,2,21,35.08351036981856
2.2331750565257504,195761,2,21,35.08351036981856
2.2331750565257504,194973,2,21,35.08351036981856
2.2331750565257504,194000,2,21,35.08351036981856
2.2331750565257504,193000,2,21,35.08351036981856
2.2331750565257504,191970,2,21,35.08351036981856
2.2331750565257504,190931,2,21,35.08351036981856
2.2331750565257504,190634,2,21,35.08351036981856
2.2331750565257504,190001,2,21,35.08351036981856
2.001533616281579,187999,2,21,35.08351036981856
2.001533616281579,186975,2,21,35.08351036981856
2.001533616281579,185988,2,21,35.08351036981856
2.001533616281579,184000,2,21,35.08351036981856
2.001533616281579,181975,2,21,35.08351036981856
2.001533616281579,180985,2,21,35.08351036981856
2.001533616281579,180001,2,21,35.08351036981856
2.001533616281579,179001,2,21,35.08351036981856
2.001533616281579,177985,2,21,35.08351036981856
2.001533616281579,176961,2,21,35.08351036981856
2.001533616281579,174989,2,21,35.08351036981856
2.001533616281579,173001,2,21,35.08351036981856
2.001533616281579,171990,2,21,35.08351036981856
2.001533616281579,171209,2,21,35.08351036981856
2.001533616281579,171006,2,21,35.08351036981856
2.001533616281579,169992,2,21,35.08351036981856
2.001533616281579,168992,2,21,35.08351036981856
2.001533616281579,168001,2,21,35.08351036981856
2.001533616281579,166992,2,21,35.08351036981856
2.001533616281579,165992,2,21,35.08351036981856
2.001533616281579,165000,2,21,35.08351036981856
1.7326420249269805,164001,2,21,35.08351036981856
